province,prefecture,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat,NO2_sat,PM25_gr,PM10_gr,CO_gr,NO2_gr,O3_gr,SO2_gr,Z-score,p-value,q-value
Anhui,Chaohu,3871520,410.2505142,0,0,0,0,,50.42761364,3.391490639,,,,,,,-3.212223451,0.004,2
Anhui,Xuancheng,2648300,215.4912812,6,0.226560435,0,0,0,37.90648765,1.752241381,103.1642005,53.66652038,6.927568306,15.28383502,26.40059359,10.70153209,-2.889298323,0.004,2
Anhui,Chuzhou,4114200,303.2394025,13,0.315978805,0,0,0,52.21059987,3.54421189,133.5267913,65.67741307,8.39721785,13.37024411,20.45555739,8.73420388,-3.958093667,0.002,2
Anhui,Huangshan,1407100,144.5330963,9,0.639613389,0,0,0,29.61728315,0.688144932,81.58027844,36.3003658,2.38666057,5.968551987,14.6507872,3.187465032,-0.390801178,0.67,2
Anhui,Suzhou,5681400,568.1756778,41,0.721653114,0,0,0,54.19165605,3.734081645,129.4595556,63.94755556,9.592888889,11.144,31.65613718,14.38844444,-3.747044284,0.002,2
Anhui,Huainan,3489500,1642.78856,27,0.773749821,0,0,0,51.58354105,3.272066665,112.5562163,61.83464129,7.874906471,12.36412046,24.57005811,8.740119894,-3.361898214,0.002,2
Anhui,Wuhu,3748200,1137.985818,34,0.907102076,0,0,0,46.40443901,2.670854159,126.0973943,65.94472557,9.588216646,14.89611279,25.7619503,10.30456039,-1.859018617,0.058,2
Anhui,Chizhou,1474500,174.2193612,17,1.152933198,0,0,0,35.31291133,1.588357727,87.53687169,40.67608697,6.546440748,10.59138461,22.19996524,8.506900242,-1.189258894,0.248,2
Anhui,Huaibei,2254100,837.2383653,28,1.242180915,0,0,0,55.07328412,3.687037062,115.6863421,60.32627091,10.13162973,16.95571313,29.5071549,11.7757193,-3.271014886,0.002,2
Anhui,Lu'an,4837400,262.9988035,69,1.426386075,0,0,0,43.79610909,1.618241382,,,,,,,-2.879025412,0.002,2
Anhui,Ma'anshan,2337100,1306.99683,38,1.625946686,0,0,0,52.51323032,3.94887501,133.73569,68.03713403,12.21091781,15.55480275,31.61373395,12.42819262,-2.080431197,0.038,2
Anhui,Anqing,4691300,304.4669428,83,1.769232409,0,0,0,40.34946924,1.653319443,113.9653046,53.20482771,7.696777336,12.57141392,25.0814618,9.227354457,-1.839959194,0.066,2
Anhui,Tongling,1629100,1572.582368,29,1.780123995,0,0,0,44.58363762,2.873599982,124.6013511,66.09920819,12.25473337,15.99825015,23.44211538,18.72851639,-1.60656235,0.144,2
Anhui,Fuyang,8207200,812.9363183,155,1.888585632,0,0,0,52.04021588,2.449480001,116.7256914,54.79474612,6.688403183,14.7683352,31.49591926,12.39678039,-3.155511408,0.012,2
Anhui,Bozhou,5237200,609.5478723,108,2.062170626,0,0,0,54.75713951,2.925231384,115.6419643,56.81046931,7.791071429,14.83392857,18.52569883,18.83303571,-3.708582152,0.002,2
Anhui,Hefei,4215880,563.1485989,174,4.127252199,1,0.02371984,0.574712644,51.30418275,3.118657784,135.3334083,71.75798279,8.71209958,13.55084399,23.78927293,8.481576117,-2.475246839,0.016,2
Anhui,Bengbu,3392000,574.5648112,160,4.716981132,5,0.14740566,3.125,52.39443961,3.087890911,126.2914263,63.17717809,7.394822944,13.16792144,30.6739922,10.4947978,3.590131475,0.002,1
Beijing,Beijing,21542000,1313.103568,593,2.729551574,9,0.037136756,1.360544218,41.36518438,5.205013494,144.8599251,83.01568208,11.42316571,24.38498932,26.85454009,10.51187296,-2.034623706,0.05,2
Chongqing,Chongqing,31018000,376.2537008,579,1.86665807,6,0.019343607,1.03626943,29.40142198,1.019594125,123.5374426,62.35600499,9.499253243,18.57873867,17.67135751,9.765953165,0.309822493,0.742,3
Fujian,Longyan,2640000,138.1213692,6,0.227272727,0,0,0,18.83452413,0.592427451,69.92770016,35.3783698,7.385430228,11.63372261,20.90477047,5.282058762,1.503458379,0.128,3
Fujian,Zhangzhou,5140000,410.5145703,20,0.389105058,0,0,0,19.07371594,1.068127267,85.68204084,44.27196582,4.891330265,10.68222791,21.06827263,5.227116547,1.399788703,0.152,3
Fujian,Quanzhou,8700000,796.4726359,47,0.540229885,0,0,0,20.2852927,0.946182454,82.65122396,45.76233533,5.874316635,9.536015812,35.99499651,5.417359079,1.669739615,0.084,3
Fujian,Sanming,2580000,112.4163184,14,0.542635659,0,0,0,19.11851058,0.539352752,74.54832537,36.61234078,9.212118435,10.61763076,14.31112825,7.359890011,1.541036552,0.138,3
Fujian,Nanping,2690000,102.1786547,20,0.743494424,0,0,0,20.74088465,0.525112922,63.90750219,27.06295511,7.956481467,4.758023194,23.99196302,6.531751724,1.143434131,0.25,3
Fujian,Xiamen,4110000,2683.784465,35,0.851581509,0,0,0,25.52509045,2.049111138,91.33856566,43.25277138,5.266193214,13.47359813,33.21876583,5.413121797,1.049294697,0.3,3
