region,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat,NO2_sat,PM25_gr,PM10_gr
Abruzzo,1311580,121.6279263,3220,245.5054209,394,30.0401043,12.23602484,9.524851618,0.825627115,13,20.4
Basilicata,562869,56.35076537,394,69.99852541,27,4.796853264,6.852791878,6.239119286,0.647657316,,17.8
P.A. Bolzano,531178,71.82193962,2590,487.5954953,291,54.78389542,11.23552124,7.727300484,1.013522021,13.5,15.6
Calabria,1947131,129.1567494,1157,59.42075803,96,4.93033083,8.297320657,5.418576208,0.538641023,11.69230769,21.5
Campania,5801692,425.5269734,4733,81.57964952,404,6.963485824,8.535812381,8.312176866,1.327794517,19.6,34.66666667
Emilia-Romagna,4459477,201.7926659,27470,615.9915165,4037,90.5263106,14.69603203,18.74009786,3.719733323,16.1,22.04878049
Friuli Venezia Giulia,1215220,155.7502638,3227,265.5486249,325,26.74412864,10.07127363,13.8375468,2.41102963,15.33333333,21.15789474
Lazio,5879082,341.1406113,7589,129.0847789,669,11.37932759,8.815390697,9.646410587,1.544392155,14.66666667,23.875
Liguria,1550640,284.2472725,9389,605.4919259,1407,90.73672806,14.98562147,15.30760968,2.249270832,13.77777778,21.11764706
Lombardia,10060574,420.9561456,86384,858.6388808,15784,156.8896566,18.2719022,20.59148603,7.076550959,22.95833333,29.98181818
Marche,1525271,157.3722818,6697,439.0695162,990,64.90649858,14.78273854,11.81464406,1.501767857,12.66666667,21.78571429
Molise,305617,68.94493058,426,139.3901517,22,7.198552437,5.164319249,8.782706304,0.745703704,,17
Piemonte,4356406,172.2560418,30077,690.4085616,3757,86.2408141,12.4912724,16.08921324,4.187717742,18.13636364,22.21212121
Puglia,4029053,208.5062396,4440,110.1995928,482,11.96310895,10.85585586,7.366117246,1.083422646,13.875,23.89285714
Sardegna,1639591,68.09523034,1356,82.70355229,128,7.806824995,9.439528024,5.954947866,0.48323733,9.5,21.13333333
Sicilia,4999891,194.2175558,3421,68.42149159,268,5.360116851,7.833966676,4.899557722,0.636130268,13,22.92307692
Toscana,3729641,162.0324467,10035,269.0607487,1009,27.05354215,10.05480817,11.86229881,1.79682687,15.46153846,21.15384615
P.A. Trento,541098,87.12869274,4388,810.9436738,455,84.08827976,10.3691887,12.78551193,1.606259258,16,18.16666667
Umbria,882015,104.3561504,1429,162.0153852,74,8.389879991,5.178446466,10.47562678,1.345443229,14.92857143,21.28571429
Valle d'Aosta,125666,38.68860685,1177,936.6097433,143,113.7937071,12.14953271,11.62048327,1.028333306,12,19
Veneto,4905854,274.0885342,19059,388.495051,1854,37.79158532,9.727687707,20.11835204,4.749208764,22.4375,28.41666667
