region,province,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat,NO2_sat,Z-score,p-value,q-value
Andalucía,Almería,716820,81.66944014,592,82.58698139,49,6.83574677,8.277027027,6.673013479,0.831711111,0.151640023,0.874,3
Andalucía,Cádiz,1240155,166.9709061,1330,107.2446589,135,10.88573606,10.15037594,6.715115092,0.93579221,0.61651712,0.318,3
Andalucía,Córdoba,782979,56.85568616,1477,188.6385203,100,12.77173462,6.770480704,6.816162835,0.689399999,1.303993117,0.208,3
Andalucía,Granada,914678,72.31881054,2739,299.4496424,248,27.11336667,9.054399416,6.068929482,0.602098192,0.419983543,0.616,3
Andalucía,Huelva,521870,51.75561607,466,89.29426869,43,8.2395999,9.227467811,6.175715634,0.617279996,0.624956588,0.368,3
Andalucía,Jaén,633564,46.94349054,1513,238.8077605,162,25.56963464,10.70720423,6.302576851,0.598184397,0.869383858,0.25,3
Andalucía,Málaga,1661785,227.4196482,3416,205.5620914,261,15.70600288,7.640515222,6.768111751,0.883333335,0.762354504,0.306,3
Andalucía,Sevilla,1942389,138.4054679,2662,137.0477283,255,13.12816331,9.579263711,6.954662183,0.847162038,1.004599246,0.25,3
Aragón,Huesca,220461,14.1055048,942,427.2864588,92,41.73073696,9.766454352,6.450198607,1.08086147,-0.853693738,0.344,2
Aragón,Teruel,134137,9.057650925,573,427.1752015,74,55.16747803,12.91448517,6.929766893,0.758227846,0.458186132,0.668,1
Aragón,Zaragoza,964693,55.75616182,4563,473.0002187,594,61.57399297,13.01775148,7.290492083,1.2857037,-0.086189274,0.912,4
Cantabria,Cantabria,581078,109.4388537,2594,446.4116693,200,34.41878715,7.710100231,7.514067071,1.228233914,-0.936956726,0.334,2
Castilla-La Mancha,Albacete,388167,26.0081225,4508,1161.355808,454,116.9599683,10.07098492,6.962793152,0.527756411,-0.023224228,0.952,1
Castilla-La Mancha,Ciudad Real,495761,25.02201498,7705,1554.176307,990,199.6929972,12.84879948,6.444512664,0.674676327,-1.04023738,0.278,4
Castilla-La Mancha,Cuenca,196329,11.45598522,2061,1049.768501,253,128.865323,12.27559437,6.411407398,0.651248146,0.043005216,0.978,1
Castilla-La Mancha,Guadalajara,257762,21.10361605,1866,723.9236195,223,86.51391594,11.95069668,6.66289462,0.766783715,-0.258266776,0.73,4
Castilla-La Mancha,Toledo,694844,45.21008655,4883,702.7476671,614,88.36515822,12.57423715,6.858359205,1.357725732,-0.841857272,0.338,4
Castilla y León,Ávila,157640,19.58224672,1677,1063.81629,129,81.83202233,7.692307692,6.468492922,0.670528454,-0.401283124,0.584,4
Castilla y León,Burgos,356958,24.98335279,2306,646.014377,197,55.1885656,8.542931483,7.43037001,0.910469602,0.401139133,0.702,1
Castilla y León,León,460001,29.52334643,3135,681.5202576,366,79.56504442,11.67464115,7.21147366,1.589972711,0.073627027,0.948,1
Castilla y León,Palencia,160980,19.9943261,1071,665.3000373,74,45.96844328,6.909430439,7.491503772,1.268348485,-0.379448364,0.632,2
Castilla y León,Salamanca,330119,26.73261288,3362,1018.42063,329,99.66103133,9.785841761,6.309495434,0.762025442,-0.927934948,0.232,4
Castilla y León,Segovia,153129,22.12532272,2971,1940.194215,195,127.3436122,6.563446651,6.82444116,0.839763157,-0.225638737,0.734,4
Castilla y León,Soria,88636,8.601345386,1824,2057.854596,112,126.3594928,6.140350877,6.303105189,0.694623054,0.047114302,0.974,1
