LTLA/NHS,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat_mean,NO2_sat_mean,Z-score,p-value,q-value
Adur,63869,1523,99,155,37,58,37,13.28004384,4.801666737,2.110826398,0.012,1
Allerdale,97527,77,250,256,60,62,24,5.684749489,1.768627461,3.348802675,0.008,3
Amber Valley,126678,477,198,156,79,62,40,11.08071156,5.963666558,1.311902284,0.186,1
Antrim and Newtownabbey,142492,197,405,284,55,39,14,4.670602291,2.097333336,5.083015283,0.002,3
Ards and North Down,160864,283,349,217,37,23,11,5.751624963,2.188333318,3.620210638,0.004,3
"Armagh, Banbridge, Craigavon",214090,149,532,248,54,25,10,4.753721365,1.667766666,4.245254721,0.002,3
Arun,159827,723,163,102,46,29,28,12.94312031,4.725111008,1.739347607,0.048,1
Ashfield,127151,1160,240,189,122,96,51,11.17937995,8.209000111,1.410636471,0.142,1
Ashford,129281,223,805,623,81,63,10,12.19764823,5.101750076,-1.959750293,0.036,2
Aylesbury Vale,199448,221,413,207,113,57,27,11.40609701,5.079230749,-1.045132762,0.288,2
Ayrshire & Arran,369670,109,1058,286,262,71,25,4.548302244,1.460705879,3.643020381,0.002,3
Babergh,91401,154,147,161,51,56,35,12.08149122,4.904380935,1.566967837,0.104,1
Barking and Dagenham,211998,5870,497,234,156,74,31,14.36750565,9.830544167,2.23532576,0.002,1
Barnet,392140,4519,1296,330,433,110,33,12.0707756,9.183812019,2.534207562,0.004,1
Barnsley,245199,745,966,394,183,75,19,11.01787137,7.471333265,-0.492263643,0.676,2
Barrow-in-Furness,67137,860,560,834,72,107,13,8.395183748,2.575743386,1.517034906,0.228,3
Basildon,185862,1689,487,262,174,94,36,12.95110116,8.216585309,2.09866772,0.024,1
Basingstoke and Deane,175729,277,722,411,99,56,14,10.67640566,4.145703713,-0.358561619,0.764,2
Bassetlaw,116839,183,228,195,41,35,18,11.39380662,8.863629659,-1.035174871,0.306,2
Bath and North East Somerset,192106,547,232,121,83,43,36,9.079133684,3.840166688,-0.766354365,0.456,4
Bedford,171623,360,654,381,118,69,18,11.8296443,6.281466675,-0.921011924,0.38,2
Belfast,341877,2483,1301,381,159,47,12,5.960677876,2.662666678,3.591968123,0.004,3
Bexley,247258,4081,717,290,196,79,27,13.77854253,9.885582618,-1.675458607,0.052,2
Birmingham,1141374,4259,3231,283,1076,94,33,11.02478874,4.861555576,0.318297039,0.788,1
Blaby,100421,769,210,209,52,52,25,11.9850979,5.509666681,-1.157504931,0.282,2
Blackburn with Darwen,148942,1086,410,275,76,51,19,8.612959818,4.856222312,1.496389542,0.144,3
Blackpool,139305,3994,640,459,99,71,15,10.47242105,3.002803327,1.162743577,0.284,3
Blaenau Gwent,69713,641,334,479,60,86,18,7.700870874,3.52699995,1.765529211,0.102,3
Bolsover,79530,496,155,195,46,58,30,11.30698429,7.147333384,0.898223112,0.384,1
Bolton,285372,2040,1018,357,266,93,26,9.663242343,6.479333162,0.602357654,0.55,3
Boston,69366,190,225,324,29,42,13,11.36195244,5.63973341,-0.604353546,0.596,2
Bracknell Forest,121676,1112,256,210,59,48,23,11.70952557,6.096333265,-0.948374639,0.34,2
Bradford,537173,1465,1326,247,393,73,30,9.132126329,5.522933292,-1.387162636,0.184,4
Braintree,151561,248,242,160,94,62,39,12.07163158,5.270916641,1.674147897,0.07,1
Breckland,139329,107,285,205,74,53,26,11.40916494,4.110708326,-0.958759331,0.348,2
Brent,330795,7648,1472,445,461,139,31,14.0232597,9.808927024,3.361791137,0.002,1
Brentwood,76550,500,185,242,74,97,40,12.12167343,8.780333042,1.91095584,0.03,1
Bridgend,144876,578,523,361,81,56,15,7.524262679,2.52033329,1.814192817,0.1,3
Brighton and Hove,290395,3507,440,152,134,46,30,13.30988684,5.042950796,1.269315883,0.164,1
"Bristol, City of",463405,4221,704,152,220,47,31,11.05011273,3.965999506,-0.877714972,0.362,4
Broadland,129464,234,299,231,56,43,19,11.28875143,6.446285793,-0.986987423,0.328,2
Bromley,331096,2205,1278,386,306,92,24,11.9289607,8.63721856,-2.93468089,0.004,2
Bromsgrove,98662,454,294,298,111,113,38,10.28078673,4.561333418,0.339995741,0.772,1
Broxbourne,96876,1883,190,196,72,74,38,12.55027495,8.688625524,1.349743841,0.128,1
Broxtowe,113272,1413,237,209,85,75,36,12.37477655,6.520199554,1.249769329,0.184,1
Burnley,88527,799,194,219,49,55,25,9.073441785,5.267791176,1.734496502,0.092,3
Bury,190108,1910,757,398,176,93,23,9.958674473,6.074666659,0.410343962,0.65,3
Caerphilly,181019,652,692,382,123,68,18,7.912608124,3.51000011,2.116207239,0.046,3
Calderdale,210082,577,294,140,101,48,34,8.973483436,6.083999991,-1.316964377,0.198,4
Cambridge,125758,3089,226,180,69,55,31,12.95040485,5.605633049,0.552694389,0.548,1
Camden,262226,12030,629,240,147,56,23,13.48538014,9.983795619,-3.1045642,0.002,2
Cannock Chase,167861,2126,209,125,62,37,30,10.62529383,4.68397318,0.133804487,0.978,1
Canterbury,164553,533,496,301,87,53,18,13.08590743,4.940333247,-2.624592302,0.002,2
Cardiff,364248,2558,2072,569,329,90,16,9.904668926,3.538785326,1.609618959,0.132,3
Carlisle,108387,104,492,454,109,101,22,5.89415643,2.342755556,3.240016903,0.006,3
Carmarthenshire,187568,79,729,389,65,35,9,6.49391379,2.063908047,2.903665252,0.016,3
Castle Point,90070,1998,176,195,65,72,37,13.51878403,7.860838223,1.883043617,0.026,1
Causeway Coast and Glens,144246,73,242,168,37,26,15,3.904770975,1.270827598,4.233838147,0.002,3
Central Bedfordshire,651482,910,642,99,201,31,31,11.72603702,5.94599998,1.404696009,0.15,1
