state,county,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat,NO2_sat,PM25_gr,PM10_gr,CO_gr,NO2_gr,O3_gr,SO2_gr,Z-score,p-value,q-value
Alabama,Autauga,56903,36.68454765,147,258.3343585,3,5.272129765,2.040816327,11.99171722,1.041999988,,,,,,,-2.165753545,0.02,2
Alabama,Baldwin,214651,49.98679741,270,125.7855775,8,3.726980075,2.962962963,9.740721528,0.992816669,,,,,0.04627,,-0.705643843,0.484,2
Alabama,Barbour,26585,11.39185573,100,376.1519654,1,3.761519654,1,11.56832324,0.769304348,,,,,,,-1.941119345,0.044,2
Alabama,Bibb,23003,14.07058967,52,226.0574708,1,4.347259053,1.923076923,12.2611921,1.399874993,,,,,,,-2.590604459,0.004,2
Alabama,Blount,57971,33.76108081,48,82.8000207,1,1.725000431,2.083333333,12.34380124,1.627185173,,,,,,,-2.843310327,0.004,2
Alabama,Bullock,10669,6.54595423,71,665.4794264,1,9.372949667,1.408450704,11.79114878,0.875619045,,,,,,,-1.905080448,0.054,2
Alabama,Butler,20446,10.09857653,321,1569.98924,11,53.80025433,3.426791277,11.24792014,0.792212115,,,,,,,1.559960896,0.112,1
Alabama,Calhoun,116724,74.57934949,136,116.5141702,3,2.570165519,2.205882353,12.22930252,1.406352948,,,,,,,-2.460432677,0.014,2
Alabama,Chambers,34356,21.63024008,330,960.5309116,23,66.94609384,6.96969697,11.6765547,1.078078431,,,,,,,1.945246115,0.04,1
Alabama,Cherokee,25678,16.44094408,31,120.7259132,0,0,0,12.54421473,1.67285714,,,,,,,-2.863227318,0.002,2
Alabama,Chilton,44807,24.37685648,84,187.4707077,1,2.231794139,1.19047619,12.25141424,1.247137252,,,,,,,-2.739072307,0.004,2
Alabama,Choctaw,13185,5.452564743,133,1008.722033,3,22.75312856,2.255639098,10.98390106,0.811072464,,,,,,,1.449482153,0.144,1
Alabama,Clarke,25006,7.739255766,91,363.912661,2,7.998080461,2.197802198,10.78534518,0.835377783,,,,,,,-1.172504132,0.236,2
Alabama,Clay,13929,8.879294022,27,193.8401895,2,14.35853256,7.407407407,11.6041281,1.308740735,,,,,,,2.045924797,0.036,1
Alabama,Cleburne,15106,10.40523298,13,86.05851979,1,6.619886138,7.692307692,11.8543435,1.296205135,,,,,,,-2.753227065,0.006,2
Alabama,Coffee,51909,29.8789474,184,354.4664702,1,1.926448207,0.543478261,11.17042517,0.681600002,,,,,,,-1.435025117,0.13,2
Alabama,Colbert,55403,34.13897065,112,202.155118,2,3.609912821,1.785714286,11.62788843,1.546619049,,,,,0.04319,,-1.592460844,0.11,2
Alabama,Conecuh,12617,5.905585714,23,182.2937307,1,7.925814377,4.347826087,10.66298203,0.747254908,,,,,,,-1.011128626,0.312,2
Alabama,Coosa,10728,6.059062817,33,307.606264,1,9.321401939,3.03030303,12.00460488,1.249288893,,,,,,,-2.370414072,0.008,2
Alabama,Covington,37638,13.57997246,62,164.7271375,1,2.656889314,1.612903226,10.77863648,0.675493329,,,,,,,-1.267566236,0.192,2
Alabama,Crenshaw,14123,8.781429729,52,368.1937265,2,14.16129717,3.846153846,11.30219556,0.821541663,,,,,,,1.818709305,0.046,1
Alabama,Cullman,84293,42.99069499,73,86.6026835,0,0,0,12.4884884,1.609629631,,,,,,,-2.621570519,0.002,2
Alabama,Dale,50465,34.4892079,76,150.5994253,0,0,0,11.31495785,0.703948722,,,,,,,-1.739157268,0.066,2
Alabama,Dallas,43196,17.1514312,179,414.3902213,3,6.945087508,1.675977654,12.06368509,0.898555559,,,,,,,-2.222292356,0.026,2
Alabama,DeKalb,72076,35.97559812,209,289.9716965,3,4.162273156,1.435406699,12.32946614,1.573600006,,,,,0.048034,,-2.91596578,0.006,2
Alabama,Elmore,83452,50.21513929,238,285.1938839,7,8.388055409,2.941176471,12.09284656,1.005481478,,,,,0.046644,,-2.397874106,0.014,2
Alabama,Escambia,38389,15.29293647,39,101.5916018,3,7.814738597,7.692307692,10.28251067,0.761973329,,,,,,,-0.720810241,0.476,2
Alabama,Etowah,102971,70.09316353,226,219.4792709,10,9.711472162,4.424778761,12.59280068,1.464476185,,,,,0.04904,,-2.552312166,0.006,2
