province,prefecture,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,CO_s5,NO2_s5,O3_s5,SO2_s5,Aerosol_s5,HCHO_s5,PM25_gr,PM10_gr,CO_gr,NO2_gr,O3_gr,SO2_gr
Anhui,Anqing,4691300,304.4669428,83,1.769232409,0,0,0,0.046550452,5.49E-05,0.123513799,4.78E-05,-1.120529591,0.000178749,113.9653046,53.20482771,7.696777336,12.57141392,25.0814618,9.227354457
Anhui,Bengbu,3392000,574.5648112,160,4.716981132,5,0.14740566,3.125,0.048506745,9.11E-05,0.129157506,6.84E-05,-1.062198048,0.000180159,126.2914263,63.17717809,7.394822944,13.16792144,30.6739922,10.4947978
Anhui,Bozhou,5237200,609.5478723,108,2.062170626,0,0,0,0.049616423,8.51E-05,0.129853011,6.63E-05,-1.049462985,0.000177812,115.6419643,56.81046931,7.791071429,14.83392857,18.52569883,18.83303571
Anhui,Chaohu,3871520,410.2505142,0,0,0,0,,0.049129232,9.40E-05,0.125497444,6.03E-05,-1.095612277,0.000187264,,,,,,
Anhui,Chizhou,1474500,174.2193612,17,1.152933198,0,0,0,0.045919074,5.45E-05,0.122866231,4.33E-05,-1.122775231,0.00018236,87.53687169,40.67608697,6.546440748,10.59138461,22.19996524,8.506900242
Anhui,Chuzhou,4114200,303.2394025,13,0.315978805,0,0,0,0.048019042,8.82E-05,0.127870422,6.66E-05,-1.091376061,0.000178452,133.5267913,65.67741307,8.39721785,13.37024411,20.45555739,8.73420388
Anhui,Fuyang,8207200,812.9363183,155,1.888585632,0,0,0,0.049302502,7.92E-05,0.12866094,6.44E-05,-1.004791841,0.000182197,116.7256914,54.79474612,6.688403183,14.7683352,31.49591926,12.39678039
Anhui,Hefei,4215880,563.1485989,174,4.127252199,1,0.02371984,0.574712644,0.047932051,9.07E-05,0.12669833,4.85E-05,-1.047454314,0.000191126,135.3334083,71.75798279,8.71209958,13.55084399,23.78927293,8.481576117
Anhui,Huaibei,2254100,837.2383653,28,1.242180915,0,0,0,0.049414707,0.00010008,0.130648657,6.58E-05,-1.053105385,0.000181463,115.6863421,60.32627091,10.13162973,16.95571313,29.5071549,11.7757193
Anhui,Huainan,3489500,1642.78856,27,0.773749821,0,0,0,0.048354618,8.91E-05,0.1283842,6.51E-05,-1.059378914,0.000186661,112.5562163,61.83464129,7.874906471,12.36412046,24.57005811,8.740119894
Anhui,Huangshan,1407100,144.5330963,9,0.639613389,0,0,0,0.042631532,3.06E-05,0.121752341,3.29E-05,-1.130990791,0.000160743,81.58027844,36.3003658,2.38666057,5.968551987,14.6507872,3.187465032
Anhui,Lu'an,4837400,262.9988035,69,1.426386075,0,0,0,0.046484824,5.65E-05,0.125893047,3.98E-05,-1.098052139,0.000174643,,,,,,
Anhui,Ma'anshan,2337100,1306.99683,38,1.625946686,0,0,0,0.049975296,0.000116965,0.125677982,6.02E-05,-1.094033,0.000187098,133.73569,68.03713403,12.21091781,15.55480275,31.61373395,12.42819262
Anhui,Suzhou,5681400,568.1756778,41,0.721653114,0,0,0,0.049576828,9.54E-05,0.131118322,8.25E-05,-1.055445836,0.000175238,129.4595556,63.94755556,9.592888889,11.144,31.65613718,14.38844444
