Province,cases_100k,deaths_100k,mortality,CO_s5,NO2_s5,O3_s5,SO2_s5,Aerosol_s5,HCHO_s5,PM25_gr,PM10_gr,CO_gr,NO2_gr,O3_gr,SO2_gr
Anhui,1.492732383,0.010066206,0.23123204,0.047941298,8.05038E-05,0.126466049,5.68118E-05,-1.081119836,0.000181354,117.0601657,58.81700839,8.279623657,13.40129721,25.32162655,11.12861325
Beijing,2.729551574,0.037136756,1.360544218,0.045974334,0.000123185,0.148350196,0.000134264,-0.944470349,0.000173279,144.8599251,83.01568208,11.42316571,24.38498932,26.85454009,10.51187296
Chongqing,1.86665807,0.019343607,1.03626943,0.041471128,0.0000358,0.121772013,0.00002,-0.927860852,0.00015042,123.5374426,62.35600499,9.499253243,18.57873867,17.67135751,9.765953165
Fujian,0.783228566,0.001435544,0.154320988,0.039330729,3.69889E-05,0.117021428,-1.09173E-05,-1.08963691,0.000142372,75.67715693,36.84074496,6.761439867,10.01602074,24.19576555,4.868798908
Gansu,0.300521786,0.00380587,0.505050505,0.028325382,2.52336E-05,0.132894701,7.23786E-05,-0.793561159,9.16234E-05,98.34283934,68.53813896,9.536065143,13.58506578,29.88691477,13.11645248
Guangdong,1.053352881,0.007237184,0.892145064,0.042819475,6.61489E-05,0.116396799,-3.21429E-05,-1.046887476,0.000168055,92.62917318,44.25734546,8.651346837,12.09505649,28.08756971,7.425548903
Guangxi,0.637510189,0.006266213,0.44955045,0.043532857,2.98286E-05,0.116587609,-1.65291E-05,-0.94277342,0.000160189,96.78042216,46.96527361,9.473954793,8.900514268,26.26485437,9.267226211
Guizhou,0.372893184,0.006058744,1.419753086,0.038014266,3.08667E-05,0.117525265,2.16278E-05,-0.963389059,0.000136678,105.805768,54.45548678,6.736579692,13.24107129,19.96610562,10.20885858
Hainan,3.329381698,0.070406562,2.839506173,0.040725027,0.000021,0.116020724,-1.90233E-05,-1.113894783,0.000146334,60.91203338,29.2140174,6.298688939,5.579526021,19.59638502,2.030130626
Hebei,0.437653944,0.008920083,2.029269456,0.051138911,0.000129642,0.144915851,0.000190106,-0.918584149,0.000175627,156.7463588,107.5750958,12.28866311,21.34317117,24.44725594,23.45158209
Heilongjiang,1.199638861,0.028459944,1.728600487,0.038688563,2.13354E-05,0.165884747,9.34704E-05,-0.933581945,9.42889E-05,91.19357558,48.8954225,6.4360385,10.41217105,23.97889304,9.400887285
Henan,1.186842394,0.019067999,2.257673845,0.049780978,9.65192E-05,0.13187641,9.32821E-05,-1.013245353,0.000190873,145.3076979,90.60880973,14.66566019,18.93832434,23.37652355,20.74693893
Hong Kong SAR,12.88417662,0.053684069,0.416666667,0.042420037,0.000139171,0.116276323,-0.0000484,-1.015804656,0.000176422,92.08088765,46.09829746,10.1357221,16.53528685,27.86990432,4.103806768
Hubei,69.72514365,3.651348723,3.483815587,0.046392504,5.16029E-05,0.123670094,2.01705E-05,-1.044101695,0.000176498,133.3198483,71.01356551,10.34987192,13.31106142,24.49432531,11.04023503
Hunan,1.336454593,0.003953096,0.174847434,0.045066802,3.79357E-05,0.119555241,1.25286E-06,-0.993312837,0.000173235,114.3278935,58.54904463,9.210541498,11.33311411,27.05500598,11.90744349
