state,county,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat,NO2_sat,CO_s5,NO2_s5,O3_s5,SO2_s5,Aerosol_s5,HCHO_s5,PM25_gr,PM10_gr,CO_gr,NO2_gr,O3_gr,SO2_gr
Alabama,Autauga,56903,36.68454765,12,21.08851906,1,1.757376588,0.083333333,11.99171722,1.041999988,0.032116794,2.30E-05,0.127603153,2.74E-05,-1.285505532,0.000149111,,,,,,
Alabama,Baldwin,214651,49.98679741,42,19.56664539,1,0.465872509,0.023809524,9.740721528,0.992816669,0.031872828,2.12E-05,0.125478931,1.70E-05,-1.273968722,0.000136808,,,,,0.04627,
Alabama,Barbour,26585,11.39185573,3,11.28455896,0,0,0,11.56832324,0.769304348,0.031686951,1.96E-05,0.126686689,3.52E-05,-1.317367105,0.000144594,,,,,,
Alabama,Bibb,23003,14.07058967,8,34.77807243,0,0,0,12.2611921,1.399874993,0.03200955,2.40E-05,0.12819281,3.79E-05,-1.333516707,0.000150676,,,,,,
Alabama,Blount,57971,33.76108081,10,17.25000431,0,0,0,12.34380124,1.627185173,0.032011199,2.37E-05,0.12955977,2.28E-05,-1.29070683,0.000144347,,,,,,
Alabama,Bullock,10669,6.54595423,2,18.74589933,0,0,0,11.79114878,0.875619045,0.031625344,2.00E-05,0.126901312,1.18E-05,-1.315882103,0.000138754,,,,,,
Alabama,Butler,20446,10.09857653,2,9.781864423,0,0,0,11.24792014,0.792212115,0.031814217,1.89E-05,0.126474403,2.17E-05,-1.306874594,0.000134488,,,,,,
Alabama,Calhoun,116724,74.57934949,48,41.1226483,0,0,0,12.22930252,1.406352948,0.032122779,2.53E-05,0.129187928,3.92E-05,-1.29956521,0.000143022,,,,,,
Alabama,Chambers,34356,21.63024008,102,296.8913727,8,23.28559786,0.078431373,11.6765547,1.078078431,0.031922641,2.22E-05,0.127985229,3.39E-05,-1.31975979,0.000144006,,,,,,
Alabama,Cherokee,25678,16.44094408,6,23.36630579,0,0,0,12.54421473,1.67285714,0.032355746,2.47E-05,0.129907233,4.05E-05,-1.329721054,0.000146434,,,,,,
Alabama,Chilton,44807,24.37685648,20,44.63588279,0,0,0,12.25141424,1.247137252,0.031893381,2.48E-05,0.128024068,3.56E-05,-1.302081573,0.000150932,,,,,,
Alabama,Choctaw,13185,5.452564743,6,45.50625711,0,0,0,10.98390106,0.811072464,0.032150058,1.86E-05,0.127130794,1.96E-05,-1.300803033,0.000139943,,,,,,
Alabama,Clarke,25006,7.739255766,10,39.9904023,0,0,0,10.78534518,0.835377783,0.032099479,1.90E-05,0.126641883,1.56E-05,-1.319875806,0.000142552,,,,,,
Alabama,Clay,13929,8.879294022,9,64.61339651,0,0,0,11.6041281,1.308740735,0.031221522,2.20E-05,0.12836402,4.02E-05,-1.343843683,0.000136387,,,,,,
Alabama,Cleburne,15106,10.40523298,12,79.43863366,0,0,0,11.8543435,1.296205135,0.031803306,2.40E-05,0.129011776,4.25E-05,-1.322116649,0.000137807,,,,,,
Alabama,Coffee,51909,29.8789474,8,15.41158566,0,0,0,11.17042517,0.681600002,0.031475278,1.86E-05,0.126091183,1.98E-05,-1.303120991,0.000143638,,,,,,
Alabama,Colbert,55403,34.13897065,7,12.63469487,1,1.80495641,0.142857143,11.62788843,1.546619049,0.032034685,2.14E-05,0.130998209,1.34E-05,-1.28097909,0.000140273,,,,,0.04319,
Alabama,Conecuh,12617,5.905585714,2,15.85162875,0,0,0,10.66298203,0.747254908,0.031499954,1.80E-05,0.126045905,1.62E-05,-1.324828037,0.000137097,,,,,,
Alabama,Coosa,10728,6.059062817,9,83.89261745,0,0,0,12.00460488,1.249288893,0.031605498,2.28E-05,0.128050833,1.43E-06,-1.355493737,0.000144001,,,,,,
Alabama,Covington,37638,13.57997246,5,13.28444657,0,0,0,10.77863648,0.675493329,0.031669285,1.84E-05,0.125897505,2.95E-05,-1.278186909,0.000138192,,,,,,
Alabama,Crenshaw,14123,8.781429729,2,14.16129717,0,0,0,11.30219556,0.821541663,0.031587358,1.86E-05,0.126423493,1.52E-05,-1.28697397,0.000136047,,,,,,
Alabama,Cullman,84293,42.99069499,22,26.09943886,1,1.18633813,0.045454545,12.4884884,1.609629631,0.032073817,2.35E-05,0.129890882,3.06E-05,-1.276414911,0.000148384,,,,,,
Alabama,Dale,50465,34.4892079,4,7.926285544,0,0,0,11.31495785,0.703948722,0.031404317,1.88E-05,0.126034603,3.73E-05,-1.301743158,0.000140568,,,,,,
Alabama,Dallas,43196,17.1514312,7,16.20520419,0,0,0,12.06368509,0.898555559,0.032026365,1.97E-05,0.127416025,3.00E-05,-1.327206507,0.000148349,,,,,,
Alabama,DeKalb,72076,35.97559812,14,19.4239414,0,0,0,12.32946614,1.573600006,0.031608656,2.26E-05,0.130198772,2.63E-05,-1.302301006,0.00013024,,,,,0.048034,
